spec,n,r2,adj_r2,aic,catchment_coef,catchment_se,catchment_t,catchment_p,residential_coef,residential_se,city,country,entropy_type,geo_catch_coef,geo_catch_se,centrality_coef,centrality_se,density_coef,density_se
+ Geo Catchment,7637,0.1522375903409806,0.15134848451018978,-8303.19559522966,0.13190260714970492,0.03329569659920746,3.9615512099796284,7.514266989157352e-05,0.09835330943095144,0.013800406100275402,Sweden - Göteborg,Sweden,birth,0.35796939730605715,0.021136997297193635,,,,
+ Geo + Centrality,7637,0.15225766980908628,0.15125731829843747,-8301.376481657546,0.13042197889736684,0.03347921427654843,3.8956105068667943,9.878898210543104e-05,0.098328852302485,0.013801267289184344,Sweden - Göteborg,Sweden,birth,0.3586289954720385,0.021195022614906408,-0.000128602675874466,0.0003025721591684417,,
Full,7637,0.15341546971291287,0.15230534050980893,-8309.813805704118,0.16600437946761204,0.03522600564721512,4.712551889366313,2.4896923510568113e-06,0.09354222358506892,0.013872152929471667,Sweden - Göteborg,Sweden,birth,0.34242559950785534,0.021768056218820855,-0.00037539042558250996,0.00031189184272874997,-1.645862462800428e-05,5.096400498246097e-06
Base,5554,0.07838714384674417,0.07722391088730074,-6363.573626310916,0.31904782943507826,0.05703421681600347,5.593972307261617,2.325547547969499e-08,0.16389021465278653,0.010463885273076956,Sweden - Malmö,Sweden,birth,,,,,,
+ Geo Catchment,5554,0.09082450183173263,0.0895127968749524,-6437.036362100231,0.111708151226793,0.061451775635782406,1.8178181195100749,0.0691458751954253,0.07913631561246781,0.014238398957766307,Sweden - Malmö,Sweden,birth,0.24878114304846122,0.028564490224180193,,,,
+ Geo + Centrality,5554,0.09110273134342262,0.08962724876443462,-6436.7362794502815,0.11516652856234089,0.06150523147280632,1.8724672000179392,0.061194590591672204,0.07867004172393166,0.014242002211089157,Sweden - Malmö,Sweden,birth,0.26095919014980495,0.030053517308715715,-0.001516064759033986,0.0011637560299274773,,
Full,5554,0.09120046406531046,0.08956091952997813,-6435.333527062221,0.1153102290226542,0.06150775365507706,1.8747267160704721,0.06088287357302202,0.07974524867032073,0.014310443920306436,Sweden - Malmö,Sweden,birth,0.2588261596253858,0.03018132528092593,-0.0023685826394963527,0.0016042660693247606,-5.0433725571003354e-06,6.532247974189067e-06
Base,3229,0.043887136835914276,0.041809275910068666,-3543.384155232523,0.0010423226162501464,0.06163298825400745,0.01691176504300639,0.9865080543892355,0.14623072583225216,0.012488134185912778,Sweden - Uppsala,Sweden,birth,,,,,,
+ Geo Catchment,3229,0.0652439742237253,0.06292159900440542,-3614.3285682811597,-0.007012577711460466,0.06095744445820563,-0.11504054629895964,0.9084201569610689,0.08783783247454657,0.014101939496418168,Sweden - Uppsala,Sweden,birth,0.25344759405161454,0.029548871764081722,,,,
+ Geo + Centrality,3229,0.06611846514185005,0.0635074263677825,-3615.3508037753513,0.023265851380735114,0.06338480180482148,0.3670572553398022,0.7136004379066293,0.09173779743249355,0.014275372309539952,Sweden - Uppsala,Sweden,birth,0.2457948772744274,0.029866683881185067,0.0021018033653591728,0.001210597679673863,,
Full,3229,0.06611862374770916,0.06321656850764612,-3613.35135217292,0.023163299323265107,0.06354623523314276,0.3645109617946998,0.7155004401301815,0.09166344088572487,0.014627573990864813,Sweden - Uppsala,Sweden,birth,0.2460003047783914,0.031136974774404833,0.0021223172891540465,0.001495322659744286,2.3689713086203282e-07,1.013334957846989e-05
