city,venue_category,entropy_type,n,success,r2,adj_r2,aic,effective_df,df_residual,bandwidth,tr_S,n_eff,alpha_corrected,beta_catchment_mean,beta_catchment_std,beta_catchment_cv,beta_catchment_min,beta_catchment_q25,beta_catchment_median,beta_catchment_q75,beta_catchment_max,beta_catchment_iqr,beta_residential_mean,beta_residential_std,beta_residential_cv,n_hotspots,hotspot_pct,n_coldspots,coldspot_pct,n_nonsig,nonsig_pct,error
US - atlanta,all,birth,34354,True,0.76638706833188,0.761684372898348,-66262.15635921562,677.8896465703275,33676.11035342967,345.0,677.8896465703275,50.677865009162595,0.0009866240416986777,0.11807693197952175,0.3166637188479662,2.6818423678461225,-2.9141134159906974,-0.039035796457757524,0.10721203373645274,0.27483447034816766,2.2020796627962107,0.31387026680592517,0.26837855642659625,0.1991434054133569,0.7420242811680234,4168.0,12.132502765325727,517.0,1.5049193689235605,29669.0,86.36257786575071,
US - atlanta,food_dining,birth,7669,True,0.8118147312091392,0.794993360032365,-15431.493215855906,629.1809582551462,7039.819041744854,77.0,629.1809582551462,12.188862201532263,0.004102105608652668,0.07706781974770216,0.6016947608380245,7.807341154943787,-8.231097629639983,-0.15928779611828192,0.09456704851755386,0.4013486939114998,5.24979987111978,0.5606364900297818,-0.7077566236007726,77.14348851920842,108.99719754897424,416.0,5.424436041204851,182.0,2.373190768027122,7071.0,92.20237319076803,
US - atlanta,entertainment_recreation,birth,1342,True,0.790278957617754,0.7704896791634317,-2700.612657890986,115.62627035907113,1226.3737296409288,91.0,115.62627035907113,11.606358968705742,0.004307983247357344,0.2040848798725974,0.20822909524491873,1.0203063322226928,-0.5394184285665539,0.0800223360335377,0.1782986079497027,0.28980944133538444,1.20448570048192,0.20978710530184674,0.3471532742008382,0.1128206730453139,0.3249880713498438,96.0,7.153502235469449,0.0,0.0,1246.0,92.84649776453055,
US - atlanta,accommodation_travel,birth,1221,True,0.8513101118263274,0.8308068432133665,-2700.717930845599,147.8427862147934,1073.1572137852065,61.0,147.8427862147934,8.258772925356467,0.00605416814966394,0.20004934888399778,0.4028797438238554,2.0139018000877,-0.9280173055293051,0.01583864622326681,0.16605152400962367,0.3436674156626309,1.9098620864165832,0.3278287694393641,0.390707084986609,0.19292559942755258,0.49378577159450504,116.0,9.5004095004095,7.0,0.5733005733005733,1098.0,89.92628992628993,
US - atlanta,education_higher,birth,226,True,0.7998594328414251,0.7663258053332762,-521.883390076084,32.2888293253545,193.7111706746455,56.0,32.2888293253545,6.999324680456459,0.007143546310919137,0.21787397318789872,0.16780760419794832,0.7702049113192048,-0.14339041906592384,0.10073394899757868,0.1782417355824979,0.31117275061666105,0.5481515035209238,0.21043880161908238,0.25147273540671666,0.11144281641285118,0.4431606322355796,67.0,29.646017699115045,0.0,0.0,159.0,70.35398230088495,
US - atlanta,civic_community,birth,157,True,0.7481538144561666,0.7036035817792703,-253.3590623421377,23.44777423194159,133.5522257680584,54.0,23.44777423194159,6.695731477409386,0.0074674440229113345,0.22560782859709966,0.15402801803159508,0.682724615494904,-0.03843047720312244,0.0771833202364444,0.22597665594922883,0.34527579401857517,0.5845736057698551,0.26809247378213075,0.3201030778926459,0.09949373051167609,0.31081778771600455,5.0,3.1847133757961785,0.0,0.0,152.0,96.81528662420382,
US - atlanta,other,birth,23739,True,0.760503203716019,0.7535303274994012,-44485.761852699514,671.5720191889698,23067.42798081103,239.0,671.5720191889698,35.3484054155035,0.001414490962527844,0.1024422809290653,0.3570212661129814,3.485096806466031,-3.3117330211870133,-0.0734935705958942,0.08824630007451337,0.2652900008453173,2.3484322559720607,0.3387835714412115,0.2646646926237499,0.21737386090436073,0.8213179429013664,2232.0,9.402249462909136,257.0,1.0826066809890897,21250.0,89.51514385610177,
Sweden - Stockholm,all,birth,35842,True,0.11838115610787747,0.10275987925282148,-40962.55668211981,624.0048464348849,35217.99515356511,360.0,624.0048464348849,57.43865645399298,0.0008704938988266349,0.1869555243301476,1.3503882338750055,7.223045367144833,-7.868289554964339,-0.4436293990617225,0.06398109208518846,0.679044608543987,8.927400535467951,1.1226740076057093,0.0951678519451636,6.084612084070293,63.93558286443504,173.0,0.482673957926455,429.0,1.1969198147424809,35240.0,98.32040622733106,
Sweden - Stockholm,food_dining,birth,4319,True,0.15880080524732032,0.14940590916901142,-5515.2332897408805,47.6927381737462,4271.307261826254,855.0,47.6927381737462,90.55886001482537,0.0005521270916154921,0.0379830794315159,0.24665460899580613,6.493802311119306,-0.5437352175409063,-0.15012410903557546,0.016268074841808432,0.2089631387063886,0.6802512296359846,0.3590872477419641,0.08496097769671107,0.10576703864056632,1.2448896129482827,0.0,0.0,0.0,0.0,4319.0,100.0,
Sweden - Stockholm,entertainment_recreation,birth,1397,True,0.2369893705701206,0.21546941926890906,-1971.6862741944778,38.29277373546856,1358.7072262645315,383.0,38.29277373546856,36.482079090187014,0.001370535924676756,0.061032041752452734,0.2357670769285388,3.86300490953285,-0.5525160779738886,-0.045696613880895014,0.0909875518527215,0.22882691467195737,1.8762965397107783,0.2745235285528524,0.11010372579493319,0.10214556342452219,0.927721225481207,18.0,1.2884753042233357,0.0,0.0,1379.0,98.71152469577666,
